feature,importance,group
Exp_317,0.00048126493,expression
Exp_504,0.0004808565,expression
Exp_306,0.0004802327,expression
Exp_329,0.0004780619,expression
Exp_757,0.0004739614,expression
Exp_444,0.00047214772,expression
Exp_566,0.00047201512,expression
Exp_789,0.0004718182,expression
Exp_631,0.00046621208,expression
Exp_663,0.00046435287,expression
Exp_550,0.0004632009,expression
Exp_735,0.00046277427,expression
Exp_523,0.0004612387,expression
Exp_151,0.00045667548,expression
Exp_422,0.000456199,expression
Exp_275,0.00045599698,expression
Exp_716,0.0004556021,expression
Exp_326,0.00045500495,expression
Exp_46,0.00045258968,expression
Exp_565,0.00045192568,expression
Exp_29,0.00044998465,expression
Exp_495,0.00044872498,expression
Exp_73,0.00044828054,expression
Exp_298,0.0004478227,expression
Exp_310,0.0004467726,expression
Exp_682,0.00044405897,expression
Exp_661,0.00044237688,expression
Exp_188,0.00043961854,expression
Exp_722,0.00043770857,expression
Exp_297,0.00043412382,expression
Exp_733,0.00043231645,expression
Exp_646,0.00042943694,expression
Exp_632,0.00042797634,expression
Exp_665,0.00042680596,expression
Exp_511,0.00042454788,expression
Exp_260,0.00042435346,expression
Exp_502,0.00042152696,expression
Exp_283,0.0004205983,expression
Exp_412,0.00042008382,expression
Exp_257,0.0004171485,expression
Exp_242,0.00041282014,expression
Exp_673,0.00041144024,expression
Exp_482,0.00040952896,expression
Exp_547,0.00040412328,expression
Exp_159,0.00040302883,expression
Exp_671,0.00039798807,expression
Exp_344,0.00039572272,expression
Exp_148,0.0003943571,expression
Exp_446,0.00039321408,expression
Exp_11,0.00039251236,expression
Exp_229,0.00039061267,expression
Exp_489,0.00039060984,expression
Exp_797,0.00039017745,expression
Exp_94,0.00038746215,expression
Exp_436,0.0003862944,expression
Exp_198,0.0003861541,expression
Exp_309,0.0003853034,expression
Exp_140,0.00038524487,expression
Exp_513,0.00038482485,expression
Exp_181,0.00038257055,expression
Exp_478,0.00037934686,expression
Exp_114,0.00037868402,expression
Exp_86,0.00037799779,expression
Exp_574,0.0003776461,expression
Exp_81,0.00037446737,expression
Exp_293,0.00037394982,expression
Exp_400,0.00037377456,expression
Exp_223,0.00037235935,expression
Exp_196,0.00037081784,expression
Exp_379,0.00036952776,expression
Exp_724,0.00036460304,expression
Exp_790,0.00036231932,expression
Exp_754,0.00036156032,expression
Exp_141,0.00035740662,expression
Exp_594,0.0003540324,expression
Exp_799,0.00035396652,expression
Exp_399,0.0003526228,expression
Exp_280,0.0003517109,expression
Exp_366,0.00035092395,expression
Exp_276,0.00034998392,expression
Exp_156,0.00034733204,expression
Exp_435,0.0003472182,expression
Exp_82,0.00034696303,expression
Exp_784,0.00034682217,expression
Exp_755,0.0003459177,expression
Exp_289,0.00034548974,expression
Exp_413,0.00034490676,expression
Exp_190,0.00034449928,expression
Exp_788,0.00034249065,expression
Exp_197,0.00034161928,expression
Exp_479,0.00034133124,expression
Exp_200,0.0003403053,expression
Exp_244,0.00033811384,expression
Exp_541,0.00033797554,expression
Exp_304,0.0003351001,expression
Exp_394,0.00033485296,expression
Exp_675,0.00033241836,expression
Exp_214,0.00033199653,expression
Exp_323,0.00033104917,expression
Exp_179,0.00032989096,expression
Exp_365,0.0003296577,expression
Exp_358,0.00032692606,expression
Exp_669,0.00032658273,expression
Exp_166,0.0003263927,expression
Exp_670,0.0003238267,expression
Exp_316,0.0003219154,expression
Exp_650,0.00032062223,expression
Exp_232,0.00031954606,expression
Exp_191,0.00031742235,expression
Exp_203,0.00031672462,expression
Exp_170,0.00031483438,expression
Exp_481,0.00031331574,expression
Exp_61,0.0003116289,expression
Exp_758,0.00030418654,expression
Exp_485,0.00030322003,expression
